path_x; path_z
-528.747864; 318.638446
-528.577904; 319.515115
-528.396999; 320.38959
-528.20501; 321.261697
-528.001795; 322.131256
-527.787214; 322.998078
-527.561128; 323.861969
-527.323398; 324.722727
-527.073908; 325.580082
-526.812485; 326.433951
-526.539019; 327.284037
-526.253382; 328.130111
-525.955451; 328.971932
-525.645109; 329.809256
-525.322242; 330.64183
-524.986743; 331.469392
-524.638512; 332.291677
-524.277455; 333.108412
-523.903489; 333.919315
-523.516555; 334.724066
-523.11655; 335.522447
-522.703438; 336.314125
-522.277174; 337.098798
-521.837725; 337.876164
-521.38507; 338.645914
-520.919204; 339.407741
-520.440133; 340.161334
-519.947878; 340.906381
-519.442477; 341.642574
-518.923981; 342.369603
-518.392459; 343.087163
-517.847996; 343.79495
-517.290688; 344.492672
-516.720665; 345.180035
-516.138166; 345.856853
-515.543541; 346.523049
-514.937147; 347.178556
-514.31934; 347.823321
-513.690474; 348.457308
-513.050892; 349.080493
-512.400968; 349.692838
-511.741011; 350.29437
-511.071353; 350.885097
-510.392323; 351.465034
-509.704241; 352.034208
-509.00736; 352.5927
-508.302108; 353.140455
-507.588743; 353.677552
-506.867521; 354.204073
-506.138725; 354.720076
-505.402629; 355.225622
-504.659502; 355.720779
-503.909551; 356.205646
-503.153124; 356.680237
-502.390412; 357.144661
-501.621667; 357.598984
-500.847084; 358.043306
-500.066885; 358.477706
-499.281283; 358.902264
-498.490449; 359.317079
-497.694648; 359.722199
-496.894036; 360.117725
-496.088824; 360.503726
-495.279148; 360.880305
-494.465182; 361.247541
-493.647091; 361.605513
-492.825039; 361.954299
-491.999143; 362.293991
-491.169627; 362.624636
-490.336596; 362.946323
-489.500221; 363.259115
-488.660592; 363.563101
-487.817841; 363.858349
-486.972095; 364.144926
-486.123478; 364.422897
-485.272107; 364.692327
-484.418009; 364.953303
-483.561473; 365.205831
-482.702548; 365.449988
-481.841296; 365.685842
-480.977819; 365.913446
-480.112217; 366.13285
-479.244584; 366.344103
-478.375015; 366.547252
-477.5036; 366.742341
-476.630428; 366.929412
-475.755479; 367.108527
-474.879064; 367.279677
-474.001138; 367.442924
-473.121781; 367.598301
-472.241071; 367.745838
-471.359087; 367.885564
-470.475903; 368.017506
-469.591594; 368.141687
-468.706232; 368.25813
-467.819888; 368.366852
-466.932633; 368.467873
-466.044504; 368.561208
-465.155634; 368.646866
-464.26606; 368.724858
-463.375846; 368.795193
-462.485062; 368.857876
-461.593772; 368.912911
-460.702043; 368.960298
-459.80994; 369.000036
-458.91753; 369.032121
-458.024876; 369.056547
-457.132046; 369.073305
-456.239105; 369.082383
-455.346098; 369.083769
-454.453132; 369.077447
-453.560254; 369.063398
-452.667532; 369.041602
-451.775033; 369.012036
-450.882827; 368.974673
-449.990983; 368.929486
-449.099571; 368.876444
-448.208664; 368.815514
-447.318334; 368.746661
-446.428657; 368.669845
-445.539707; 368.585026
-444.651561; 368.492161
-443.764309; 368.391205
-442.878007; 368.282105
-441.992751; 368.164813
-441.108628; 368.039274
-440.225724; 367.905432
-439.344128; 367.763227
-438.463933; 367.612597
-437.585234; 367.453477
-436.708129; 367.285799
-435.832718; 367.109493
-434.959105; 366.924486
-434.087397; 366.730702
-433.217746; 366.528072
-432.350176; 366.316493
-431.484856; 366.095892
-430.62191; 365.866184
-429.761466; 365.627277
-428.903656; 365.379081
-428.048619; 365.121501
-427.196496; 364.85444
-426.347437; 364.577798
-425.501596; 364.291473
-424.659133; 363.995362
-423.820214; 363.689358
-422.985083; 363.37338
-422.153769; 363.047261
-421.32654; 362.710919
-420.503591; 362.364242
-419.685124; 362.007115
-418.871351; 361.639423
-418.062491; 361.261051
-417.25878; 360.871915
-416.460327; 360.472037
-415.667282; 360.061542
-414.879762; 359.640549
-414.097876; 359.209185
-413.321723; 358.767589
-412.551411; 358.315913
-411.786994; 357.854294
-411.028566; 357.382903
-410.276194; 356.901906
-409.529936; 356.411477
-408.789841; 355.911796
-408.055958; 355.403049
-407.328305; 354.885417
-406.606912; 354.359096
-405.891793; 353.824281
-405.182954; 353.281169
-404.480393; 352.729961
-403.784078; 352.170841
-403.094031; 351.604043
-402.410206; 351.029755
-401.732594; 350.4482
-401.061103; 349.859539
-400.395715; 349.263996
-399.73637; 348.661768
-399.083007; 348.053053
-398.43556; 347.438048
-397.793957; 346.816947
-397.15812; 346.189942
-396.527968; 345.557224
-395.903413; 344.918979
-395.284346; 344.27537
-394.670724; 343.626633
-394.062412; 342.972908
-393.45931; 342.314369
-392.861312; 341.651187
-392.268311; 340.983528
-391.680197; 340.311558
-391.096858; 339.635435
-390.518181; 338.955318
-389.944005; 338.271307
-389.374317; 337.583675
-388.808933; 336.892493
-388.247732; 336.197902
-387.690594; 335.500043
-387.137396; 334.799051
-386.588016; 334.09506
-386.04233; 333.388199
-385.500213; 332.678594
-384.961541; 331.966371
